date,zone,prediction
2020-12-07,Aquifer_Auser,-12.391575
2020-12-08,Aquifer_Auser,-12.343124999999993
2020-12-09,Aquifer_Auser,-12.382224999999984
2020-12-10,Aquifer_Auser,-12.38282499999999
2020-12-11,Aquifer_Auser,-12.385499999999988
2020-12-12,Aquifer_Auser,-12.38539999999997
2020-12-13,Aquifer_Auser,-12.366849999999967
2020-12-14,Aquifer_Auser,-12.354949999999967
2020-12-15,Aquifer_Auser,-12.34149999999998
2020-12-16,Aquifer_Auser,-12.343599999999975
2020-12-17,Aquifer_Auser,-12.345424999999986
2020-12-18,Aquifer_Auser,-12.356224999999961
2020-12-19,Aquifer_Auser,-12.35267499999997
2020-12-20,Aquifer_Auser,-12.341624999999983
2020-12-21,Aquifer_Auser,-12.331624999999983
2020-12-22,Aquifer_Auser,-12.291774999999983
2020-12-23,Aquifer_Auser,-12.298624999999992
2020-12-24,Aquifer_Auser,-12.29614999999998
2020-12-25,Aquifer_Auser,-12.295074999999986
2020-12-26,Aquifer_Auser,-12.29239999999998
2020-12-27,Aquifer_Auser,-12.262524999999997
2020-12-28,Aquifer_Auser,-12.256400000000003
2020-12-29,Aquifer_Auser,-12.265274999999995
2020-12-30,Aquifer_Auser,-12.251574999999997
2020-12-31,Aquifer_Auser,-12.23437500000001
2021-01-01,Aquifer_Auser,-12.19227500000002
2021-01-02,Aquifer_Auser,-12.112925000000027
2021-01-03,Aquifer_Auser,-11.93310000000003
2021-01-04,Aquifer_Auser,-12.015450000000026
2021-01-05,Aquifer_Auser,-11.975950000000033
2020-12-07,Aquifer_Doganella,-51.578875
2020-12-08,Aquifer_Doganella,-52.98194999999994
2020-12-09,Aquifer_Doganella,-53.278849999999984
2020-12-10,Aquifer_Doganella,-49.07075000000005
2020-12-11,Aquifer_Doganella,-50.57707499999998
2020-12-12,Aquifer_Doganella,-48.62085
2020-12-13,Aquifer_Doganella,-48.557324999999985
2020-12-14,Aquifer_Doganella,-48.51487499999999
2020-12-15,Aquifer_Doganella,-44.29200000000004
2020-12-16,Aquifer_Doganella,-48.96319999999998
2020-12-17,Aquifer_Doganella,-49.21439999999998
2020-12-18,Aquifer_Doganella,-48.93042499999999
2020-12-19,Aquifer_Doganella,-49.037800000000004
2020-12-20,Aquifer_Doganella,-48.754924999999986
2020-12-21,Aquifer_Doganella,-48.894299999999966
2020-12-22,Aquifer_Doganella,-43.859000000000044
2020-12-23,Aquifer_Doganella,-44.26920000000005
2020-12-24,Aquifer_Doganella,-49.03370000000001
2020-12-25,Aquifer_Doganella,-48.82787499999998
2020-12-26,Aquifer_Doganella,-49.07727499999999
2020-12-27,Aquifer_Doganella,-48.77492500000001
2020-12-28,Aquifer_Doganella,-48.98509999999998
2020-12-29,Aquifer_Doganella,-49.09472500000001
2020-12-30,Aquifer_Doganella,-48.749474999999975
2020-12-31,Aquifer_Doganella,-48.97434999999998
2021-01-01,Aquifer_Doganella,-38.62784999999999
2021-01-02,Aquifer_Doganella,-38.44455000000005
2021-01-03,Aquifer_Doganella,-39.14117500000003
2021-01-04,Aquifer_Doganella,-39.386975000000035
2021-01-05,Aquifer_Doganella,-40.879625000000004
2019-12-02,Aquifer_Luco,-7.391249999999992
2019-12-03,Aquifer_Luco,-7.171749999999979
2019-12-04,Aquifer_Luco,-6.931249999999983
2019-12-05,Aquifer_Luco,-6.564499999999992
2019-12-06,Aquifer_Luco,-6.631749999999961
2019-12-07,Aquifer_Luco,-6.634499999999964
2019-12-08,Aquifer_Luco,-6.670999999999973
2019-12-09,Aquifer_Luco,-6.7117499999999835
2019-12-10,Aquifer_Luco,-6.687249999999975
2019-12-11,Aquifer_Luco,-6.454250000000025
2019-12-12,Aquifer_Luco,-6.373250000000024
2019-12-13,Aquifer_Luco,-6.381500000000024
2019-12-14,Aquifer_Luco,-6.3927500000000155
2019-12-15,Aquifer_Luco,-6.404750000000015
2019-12-16,Aquifer_Luco,-6.397750000000022
2019-12-17,Aquifer_Luco,-6.383750000000025
2019-12-18,Aquifer_Luco,-6.412250000000009
2019-12-19,Aquifer_Luco,-6.396000000000012
2019-12-20,Aquifer_Luco,-6.394250000000012
2019-12-21,Aquifer_Luco,-6.393750000000011
2019-12-22,Aquifer_Luco,-6.395000000000011
2019-12-23,Aquifer_Luco,-6.4097500000000185
2019-12-24,Aquifer_Luco,-6.3962500000000135
2019-12-25,Aquifer_Luco,-6.406500000000018
2019-12-26,Aquifer_Luco,-6.412000000000015
2019-12-27,Aquifer_Luco,-6.40275000000001
2019-12-28,Aquifer_Luco,-6.40925000000001
2019-12-29,Aquifer_Luco,-6.41250000000001
2019-12-30,Aquifer_Luco,-6.349500000000017
2019-12-31,Aquifer_Luco,-6.346750000000015
2020-07-01,Aquifer_Petrignano,-25.917699999999964
2020-07-02,Aquifer_Petrignano,-25.905874999999973
2020-07-03,Aquifer_Petrignano,-25.894324999999977
