date,zone,volume,dayofweek,month,dayofyear,lag_1,lag_7,lag_14,roll7,roll14
2020-01-15,A,123.8802148781565,2,1,15,113.51143013651382,117.5401293313214,122.43773663803545,122.90796847810465,119.87938421408076
2020-01-16,A,128.9124400964448,3,1,16,123.8802148781565,135.58230046940636,127.32676680944664,121.95513128196727,119.99264659172347
2020-01-17,A,142.60872467645663,4,1,17,128.9124400964448,132.7642969131379,145.52218783010812,123.3614781052985,119.78454208074837
2020-01-18,A,121.17678414588931,5,1,18,142.60872467645663,135.8129586813539,136.23222254351091,121.27059602880357,118.7091536237754
2020-01-19,A,118.53010780828724,6,1,19,121.17678414588931,117.6547708111906,95.7540837484582,121.39564417124596,120.33601248519176
2020-01-20,A,100.2922246586637,0,1,20,118.53010780828724,101.14980745697338,90.13405575151504,121.27313234291601,121.06159597855954
2020-01-21,A,103.08467164247752,1,1,21,100.2922246586637,113.51143013651382,105.44615363603776,119.78359541519653,120.89291869330522
2020-01-22,A,114.76277385497866,2,1,22,103.08467164247752,123.8802148781565,117.5401293313214,118.48110384045684,120.69453615928073
2020-01-23,A,145.63718057897302,3,1,23,114.76277385497866,128.9124400964448,135.58230046940636,120.870352480818,121.41274188139263
2020-01-24,A,138.49255261731628,4,1,24,145.63718057897302,142.60872467645663,132.7642969131379,120.2823279009408,121.82190300311967
2020-01-25,A,125.49129244528656,5,1,25,138.49255261731628,121.17678414588931,135.8129586813539,120.89868622942613,121.08464112911486
2020-01-26,A,108.75550706399326,6,1,26,125.49129244528656,118.53010780828724,117.6547708111906,119.50231469452699,120.44897943288649
2020-01-27,A,105.02017550105056,0,1,27,108.75550706399326,100.2922246586637,101.14980745697338,120.17773624343941,120.72543429317771
2020-01-28,A,107.5571931358223,1,1,28,105.02017550105056,103.08467164247752,113.51143013651382,120.81666788534581,120.30013165027117
2020-01-29,A,123.58214117304816,2,1,29,107.5571931358223,114.76277385497866,123.8802148781565,122.07657750221287,120.27884067133486
2020-01-30,A,139.37348796371393,3,1,30,123.58214117304816,145.63718057897302,128.9124400964448,121.18176427146157,121.02605837613979
2020-01-31,A,156.93203935090048,4,1,31,139.37348796371393,138.49255261731628,142.60872467645663,123.81597666197362,122.04915228145721
2020-02-01,A,125.73666496158457,5,2,32,156.93203935090048,125.49129244528656,121.17678414588931,123.85102987858761,122.37485805400686
2020-02-02,A,107.54470370539688,6,2,33,125.73666496158457,108.75550706399326,118.53010780828724,123.67805797021671,121.59018633237186
2020-02-03,A,94.32159026071083,0,2,34,107.54470370539688,105.02017550105056,100.2922246586637,122.14968865016817,121.16371244680379
2020-02-04,A,109.63154607158374,1,2,35,94.32159026071083,107.5571931358223,103.08467164247752,122.44602478384839,121.63134633459708
2020-02-05,A,129.38212869211745,2,2,36,109.63154607158374,123.58214117304816,114.76277385497866,123.2745944294297,122.67558596582128
2020-02-06,A,135.08541034848196,3,2,37,129.38212869211745,139.37348796371393,145.63718057897302,122.66201191296798,121.92188809221479
2020-02-07,A,133.14767679830663,4,2,38,135.08541034848196,156.93203935090048,138.49255261731628,119.26424583402601,121.5401112479998
2020-02-08,A,122.46220543720165,5,2,39,133.14767679830663,125.73666496158457,125.49129244528656,118.7964659019713,121.32374789027946
2020-02-09,A,116.91745791063688,6,2,40,122.46220543720165,107.54470370539688,108.75550706399326,120.13543078843416,121.90674437932543
2020-02-10,A,106.84787552639148,0,2,41,116.91745791063688,94.32159026071083,105.02017550105056,121.92490011210283,122.03729438113548
2020-02-11,A,109.11901490749136,1,2,42,106.84787552639148,109.63154607158374,107.5571931358223,121.85168137437533,122.14885307911186
2020-02-12,A,115.09634276211084,2,2,43,109.11901490749136,129.38212869211745,123.58214117304816,119.81085481294583,121.54272462118776
2020-02-13,A,137.92435066432475,3,2,44,115.09634276211084,135.08541034848196,139.37348796371393,120.21641771520909,121.43921481408854
2020-02-14,A,140.87248515720282,4,2,45,137.92435066432475,133.14767679830663,156.93203935090048,121.31996176647996,120.29210380025299
2020-02-15,A,130.87763400663377,5,2,46,140.87248515720282,122.46220543720165,125.73666496158457,122.52216584782741,120.65931587489936
2020-02-16,A,118.75421590169483,6,2,47,130.87763400663377,116.91745791063688,107.54470370539688,122.78455984654998,121.45999531749207
2020-02-17,A,102.76067661703146,0,2,48,118.75421590169483,106.84787552639148,94.32159026071083,122.20067428806998,122.06278720008639
2020-02-18,A,110.27515933569502,1,2,49,102.76067661703146,109.11901490749136,109.63154607158374,122.36583777781335,122.10875957609436
2020-02-19,A,121.0311230464016,2,2,50,110.27515933569502,115.09634276211084,129.38212869211745,123.21366353271205,121.51225917282893
2020-02-20,A,138.45008533938093,3,2,51,121.0311230464016,137.92435066432475,135.08541034848196,123.28876848629149,121.75259310075027
2020-02-21,A,145.0593745608553,4,2,52,138.45008533938093,140.87248515720282,133.14767679830663,123.88689554395614,122.60342865521804
2020-02-22,A,117.54094874402628,5,2,53,145.0593745608553,130.87763400663377,122.46220543720165,121.98165479215507,122.25191031999123
2020-02-23,A,109.29548601732098,6,2,54,117.54094874402628,118.75421590169483,116.91745791063688,120.63040766581595,121.70748375618295
2020-02-24,A,97.27900106256172,0,2,55,109.29548601732098,102.76067661703146,106.84787552639148,119.84731115803456,121.02399272305227
2020-02-25,A,99.8028981152432,1,2,56,97.27900106256172,110.27515933569502,109.11901490749136,118.35127384082715,120.35855580932025
2020-02-26,A,118.35942255074704,2,2,57,99.8028981152432,121.0311230464016,115.09634276211084,117.96960234144792,120.59163293707998
2020-02-27,A,148.1667307098063,3,2,58,118.35942255074704,138.45008533938093,137.92435066432475,119.35769453722297,121.32323151175724
2020-02-28,A,133.1524898986711,4,2,59,148.1667307098063,145.0593745608553,140.87248515720282,117.6567110140538,120.77180327900497
2020-02-29,A,137.01449220967362,5,2,60,133.1524898986711,117.54094874402628,130.87763400663377,120.43864579486056,121.21015029350781
2020-03-01,A,98.45996764532316,6,3,61,137.01449220967362,109.29548601732098,118.75421590169483,118.89071459886087,119.7605611323384
2020-03-02,A,98.43297212708794,0,3,62,98.45996764532316,97.27900106256172,102.76067661703146,119.0555676080789,119.45143938305674
2020-03-03,A,106.28601549210003,1,3,63,98.43297212708794,99.8028981152432,110.27515933569502,119.98172723334417,119.16650053708565
2020-03-04,A,125.32040928150482,2,3,64,106.28601549210003,118.35942255074704,121.0311230464016,120.97615390916671,119.47287812530733
2020-03-05,A,141.96708292834404,3,3,65,125.32040928150482,148.1667307098063,138.45008533938093,120.0904899403864,119.72409223880467
2020-03-06,A,146.4959867758865,4,3,66,141.96708292834404,133.1524898986711,145.0593745608553,121.9967037799886,119.82670739702121
2020-03-07,A,126.54853486502437,5,3,67,146.4959867758865,137.01449220967362,117.54094874402628,120.50156701646726,120.47010640566393
2020-03-08,A,108.29418154700302,6,3,68,126.54853486502437,98.45996764532316,109.29548601732098,121.90645471670726,120.39858465778407
2020-03-09,A,108.04592948710142,0,3,69,108.29418154700302,98.43297212708794,97.27900106256172,123.27973433956632,121.1676509738226
2020-03-10,A,103.52362644227712,1,3,70,108.04592948710142,106.28601549210003,99.8028981152432,122.88510733244875,121.43341728289647
2020-03-11,A,110.49521011399727,2,3,71,103.52362644227712,125.32040928150482,118.35942255074704,120.76722173709052,120.87168782312862
2020-03-12,A,127.28104264804344,3,3,72,110.49521011399727,141.96708292834404,148.1667307098063,118.66921598276187,119.37985296157413
2020-03-13,A,132.86366067634432,4,3,73,127.28104264804344,146.4959867758865,133.1524898986711,116.72174082568442,119.35922230283651
2020-03-14,A,133.3856914655122,5,3,74,132.86366067634432,126.54853486502437,137.01449220967362,117.69847748289696,119.10002224968211
2020-03-15,A,113.20247184695415,6,3,75,133.3856914655122,108.29418154700302,98.45996764532316,118.39966181146141,120.15305826408432
2020-03-16,A,106.77607533965649,0,3,76,113.20247184695415,108.04592948710142,98.43297212708794,118.21825407611213,120.74899420783923
2020-03-17,A,101.70610994070786,1,3,77,106.77607533965649,103.52362644227712,106.28601549210003,117.95860886160224,120.4218580970255
2020-03-18,A,122.03908829938456,2,3,78,101.70610994070786,110.49521011399727,125.32040928150482,119.60773431665758,120.18747802687405
2020-03-19,A,141.42213358188005,3,3,79,122.03908829938456,127.28104264804344,141.96708292834404,121.62789016434853,120.14855307355519
2020-03-20,A,137.81457671666536,4,3,80,141.42213358188005,132.86366067634432,146.4959867758865,122.33516388439439,119.52845235503939
2020-03-21,A,133.1326774836113,5,3,81,137.81457671666536,133.3856914655122,126.54853486502437,122.29901902983711,119.99874825636705
2020-03-22,A,106.83772849992664,6,3,82,133.1326774836113,113.20247184695415,108.29418154700302,121.38976998026176,119.89471589586158
2020-03-23,A,98.4178318046638,0,3,83,106.83772849992664,106.77607533965649,108.04592948710142,120.19573518954851,119.20699463283032
2020-03-24,A,102.14029802948366,1,3,84,98.4178318046638,101.70610994070786,103.52362644227712,120.25776205937362,119.10818546048793
2020-03-25,A,111.27412367612848,2,3,85,102.14029802948366,122.03908829938456,110.49521011399727,118.71990997033704,119.16382214349731
2020-03-26,A,140.38326034649617,3,3,86,111.27412367612848,141.42213358188005,127.28104264804344,118.57149950813934,120.09969483624393
2020-03-27,A,136.60420038287558,4,3,87,140.38326034649617,137.81457671666536,132.86366067634432,118.39858860331222,120.3668762438533
2020-03-28,A,129.64849860304372,5,3,88,136.60420038287558,133.1326774836113,133.3856914655122,117.90084876323115,120.09993389653413
2020-03-29,A,116.0491793697773,6,3,89,129.64849860304372,106.83772849992664,113.20247184695415,119.21677031606694,120.30327014816437
2020-03-30,A,104.96458205549396,0,3,90,116.0491793697773,98.4178318046638,106.77607533965649,120.15202035189984,120.17387777072418
2020-03-31,A,110.58735212332256,1,3,91,104.96458205549396,102.14029802948366,101.70610994070786,121.3587423653054,120.80825221233951
2020-04-01,A,120.12302703483532,2,4,92,110.58735212332256,111.27412367612848,122.03908829938456,122.62287141654922,120.67139069344314
2020-04-02,A,133.17116407392825,3,4,93,120.12302703483532,140.38326034649617,141.42213358188005,121.59257194903954,120.08203572858943
2020-04-03,A,139.79174348731627,4,4,94,133.17116407392825,136.60420038287558,137.81457671666536,122.04793524967393,120.22326192649307
2020-04-04,A,116.11994025162794,5,4,95,139.79174348731627,129.64849860304372,133.1326774836113,120.11528405661451,119.00806640992282
2020-04-05,A,100.69637638921502,6,4,96,116.11994025162794,116.0491793697773,106.83772849992664,117.92202648796275,118.56939840201485
